ef_threshold,n_normal,n_abnormal,pct_abnormal,threshold,n_samples,accuracy,f1_macro,roc_auc,precision_class1_normal,recall_class1_normal,f1_class1_normal,precision_class0_abnormal,recall_class0_abnormal,f1_class0_abnormal,sensitivity_abnormal,specificity_abnormal,tn,fp,fn,tp
40,1117,160,12.5,0.5,1277,0.8629600626468285,0.7601769845025879,0.9338798119964189,0.9728915662650602,0.8675022381378693,0.9171793658305727,0.47330960854092524,0.83125,0.6031746031746031,0.83125,0.8675022381378693,133,27,148,969
45,1073,204,16.0,0.5,1277,0.87548942834769,0.7976581146327975,0.9317882791513624,0.9588353413654619,0.8900279589934762,0.9231512808119865,0.5800711743772242,0.7990196078431373,0.6721649484536083,0.7990196078431373,0.8900279589934762,163,41,118,955
50,992,285,22.3,0.5,1277,0.8668754894283477,0.8070667823193578,0.9121250707413695,0.9126506024096386,0.9163306451612904,0.9144869215291751,0.7046263345195729,0.6947368421052632,0.6996466431095406,0.6947368421052632,0.9163306451612904,198,87,83,909
55,876,401,31.4,0.5,1277,0.8183241973375098,0.7679462114945985,0.8631361094979447,0.8232931726907631,0.9360730593607306,0.8760683760683761,0.800711743772242,0.5610972568578554,0.6598240469208211,0.5610972568578554,0.9360730593607306,225,176,56,820
60,544,733,57.4,0.5,1277,0.6241190289741582,0.6074694536232998,0.7834217759409358,0.5321285140562249,0.9742647058823529,0.6883116883116883,0.9501779359430605,0.36425648021828105,0.5266272189349113,0.36425648021828105,0.9742647058823529,267,466,14,530
65,235,1042,81.6,0.5,1277,0.3946750195771339,0.39388854196791995,0.735547433331972,0.22991967871485944,0.9744680851063829,0.37205523964256704,0.9786476868327402,0.263915547024952,0.41572184429327286,0.263915547024952,0.9744680851063829,275,767,6,229
70,38,1239,97.0,0.5,1277,0.24980422866092403,0.22161890461162576,0.7338048511108279,0.03815261044176707,1.0,0.0735009671179884,1.0,0.22679580306698952,0.36973684210526314,0.22679580306698952,1.0,281,958,0,38
