ef_threshold,n_normal,n_abnormal,pct_abnormal,threshold,n_samples,accuracy,f1_macro,roc_auc,precision_class1_normal,recall_class1_normal,f1_class1_normal,precision_class0_abnormal,recall_class0_abnormal,f1_class0_abnormal,sensitivity_abnormal,specificity_abnormal,tn,fp,fn,tp
40,1117,160,12.5,0.5,1277,0.7705559906029757,0.6743857981903989,0.9224932855863921,0.9824355971896955,0.7511190689346464,0.8513444951801116,0.34278959810874704,0.90625,0.4974271012006861,0.90625,0.7511190689346464,145,15,278,839
45,1073,204,16.0,0.5,1277,0.7956147220046985,0.7241441812768937,0.9197001260895785,0.9754098360655737,0.7763280521901211,0.8645563051375195,0.4326241134751773,0.8970588235294118,0.583732057416268,0.8970588235294118,0.7763280521901211,183,21,240,833
50,992,285,22.3,0.5,1277,0.8230227094753328,0.7791820457731176,0.9083510186757215,0.9484777517564403,0.8165322580645161,0.8775731310942578,0.5697399527186762,0.8456140350877193,0.6807909604519774,0.8456140350877193,0.8165322580645161,241,44,182,810
55,876,401,31.4,0.5,1277,0.8214565387627252,0.7957545316796677,0.8755053006752525,0.8793911007025761,0.8573059360730594,0.8682080924855491,0.7044917257683215,0.743142144638404,0.7233009708737864,0.743142144638404,0.8573059360730594,298,103,125,751
60,544,733,57.4,0.5,1277,0.6820673453406422,0.6791870244689646,0.7820951368269,0.5807962529274004,0.9117647058823529,0.709585121602289,0.8865248226950354,0.5115961800818554,0.6487889273356401,0.5115961800818554,0.9117647058823529,375,358,48,496
65,235,1042,81.6,0.5,1277,0.49334377447141736,0.48211936303776204,0.727414546494058,0.25878220140515223,0.9404255319148936,0.40587695133149676,0.966903073286052,0.3925143953934741,0.5583617747440273,0.3925143953934741,0.9404255319148936,409,633,14,221
70,38,1239,97.0,0.5,1277,0.35630383711824587,0.2919452493888718,0.7137122467184912,0.040983606557377046,0.9210526315789473,0.07847533632286996,0.9929078014184397,0.3389830508474576,0.5054151624548736,0.3389830508474576,0.9210526315789473,420,819,3,35
