ef_threshold,n_normal,n_abnormal,pct_abnormal,threshold,n_samples,accuracy,f1_macro,roc_auc,precision_class1_normal,recall_class1_normal,f1_class1_normal,precision_class0_abnormal,recall_class0_abnormal,f1_class0_abnormal,sensitivity_abnormal,specificity_abnormal,tn,fp,fn,tp
40,1117,160,12.5,0.5,1277,0.9115113547376664,0.8048913388850354,0.9274619516562221,0.9547101449275363,0.9435989256938228,0.9491220171094101,0.6358381502890174,0.6875,0.6606606606606606,0.6875,0.9435989256938228,110,50,63,1054
45,1073,204,16.0,0.5,1277,0.9068128425998434,0.8148438766023864,0.928512691190176,0.9320652173913043,0.9589934762348555,0.9453376205787781,0.7456647398843931,0.6323529411764706,0.6843501326259946,0.6323529411764706,0.9589934762348555,129,75,44,1029
50,992,285,22.3,0.5,1277,0.860610806577917,0.7632150238341278,0.8998938879456707,0.8686594202898551,0.9667338709677419,0.9150763358778626,0.8092485549132948,0.49122807017543857,0.611353711790393,0.49122807017543857,0.9667338709677419,140,145,33,959
55,876,401,31.4,0.5,1277,0.793265465935787,0.7033681765389083,0.8617440417221787,0.7771739130434783,0.9794520547945206,0.8666666666666667,0.8959537572254336,0.3865336658354115,0.5400696864111498,0.3865336658354115,0.9794520547945206,155,246,18,858
60,544,733,57.4,0.5,1277,0.5552075176194206,0.5142041192481622,0.7659322084904904,0.4891304347826087,0.9926470588235294,0.6553398058252428,0.976878612716763,0.2305593451568895,0.3730684326710817,0.2305593451568895,0.9926470588235294,169,564,4,540
65,235,1042,81.6,0.5,1277,0.31949882537196556,0.31789093881866265,0.7132845999918325,0.2128623188405797,1.0,0.351008215085885,1.0,0.16602687140115163,0.2847736625514403,0.16602687140115163,1.0,173,869,0,235
70,38,1239,97.0,0.5,1277,0.16523101018010963,0.15579620267608638,0.6923665094940741,0.034420289855072464,1.0,0.06654991243432574,1.0,0.13962873284907182,0.24504249291784702,0.13962873284907182,1.0,173,1066,0,38
