ef_threshold,n_normal,n_abnormal,pct_abnormal,threshold,n_samples,accuracy,f1_macro,roc_auc,precision_class1_normal,recall_class1_normal,f1_class1_normal,precision_class0_abnormal,recall_class0_abnormal,f1_class0_abnormal,sensitivity_abnormal,specificity_abnormal,tn,fp,fn,tp
40,1117,160,12.5,0.5,1277,0.8543461237274863,0.7636709888482938,0.9621922560429723,0.9894847528916929,0.8424350940017905,0.9100580270793037,0.4601226993865031,0.9375,0.6172839506172839,0.9375,0.8424350940017905,150,10,176,941
45,1073,204,16.0,0.5,1277,0.874706342991386,0.8095309120739802,0.9592538786250753,0.9800210304942166,0.8685927306616962,0.9209486166007905,0.5674846625766872,0.9068627450980392,0.6981132075471698,0.9068627450980392,0.8685927306616962,185,19,141,932
50,992,285,22.3,0.5,1277,0.8739232576350823,0.8268179953553526,0.934235285795133,0.9369085173501577,0.8981854838709677,0.9171384457025219,0.6901840490797546,0.7894736842105263,0.7364975450081833,0.7894736842105263,0.8981854838709677,225,60,101,891
55,876,401,31.4,0.5,1277,0.8425998433829287,0.8067524500669689,0.8989170908345574,0.8548895899053628,0.928082191780822,0.8899835796387521,0.8067484662576687,0.655860349127182,0.7235213204951857,0.655860349127182,0.928082191780822,263,138,63,813
60,544,733,57.4,0.5,1277,0.6562255285826155,0.645906247137926,0.8105000100312976,0.555205047318612,0.9705882352941176,0.7063545150501672,0.950920245398773,0.4229195088676671,0.5854579792256847,0.4229195088676671,0.9705882352941176,310,423,16,528
65,235,1042,81.6,0.5,1277,0.4314800313234142,0.4285782965001036,0.7492383713807326,0.24185068349106204,0.9787234042553191,0.38785834738617203,0.9846625766871165,0.30806142034548945,0.4692982456140351,0.30806142034548945,0.9787234042553191,321,721,5,230
70,38,1239,97.0,0.5,1277,0.2850430696945967,0.24672935840572174,0.7119175056284779,0.03995793901156677,1.0,0.07684529828109202,1.0,0.26311541565778856,0.41661341853035144,0.26311541565778856,1.0,326,913,0,38
