epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,epoch_time_sec
1,0.6418488606870454,0.7713328868050904,0.8707503596577573,0.6293384115795911,0.7756211180124224,0.8736335811106253,0.5791015929424234,852.2869536876678
2,0.6365295191898652,0.7730743469524447,0.8716472192756478,0.6288044341139912,0.7756211180124224,0.8736335811106253,0.41213358687407126,791.0053644180298
3,0.6326470126292487,0.7753516409912927,0.8734435136970795,0.6313279659388968,0.7756211180124224,0.8736335811106253,0.5725240811746002,791.4547731876373
4,0.6364199391953592,0.7750837240455459,0.8732543217332226,0.6281585353686943,0.7756211180124224,0.8736335811106253,0.5826120237884943,790.7711322307587
5,0.6330558478193481,0.7756195579370395,0.8736325914749151,0.6274808357868876,0.7756211180124224,0.8736335811106253,0.5789076273505339,790.3810839653015
6,0.6357444176798448,0.7758874748827863,0.8738025194237007,0.6274758313568483,0.7756211180124224,0.8736335811106253,0.5855059211460595,790.0925016403198
7,0.6313732804784181,0.7758874748827863,0.8738025194237007,0.6275310247488644,0.7756211180124224,0.8736335811106253,0.5844598924183699,789.5138614177704
8,0.6315173490009129,0.7760214333556598,0.873887464172575,0.6279547198311143,0.7756211180124224,0.8736335811106253,0.5894995341362124,789.3402395248413
9,0.6305346356129694,0.7758874748827863,0.8737834779328555,0.6291669166606405,0.7756211180124224,0.8736335811106253,0.5922566164780698,789.27019572258
10,0.6297720285964666,0.7760214333556598,0.873887464172575,0.6308892538181002,0.7756211180124224,0.8736335811106253,0.5923016442047584,789.2864258289337
