epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,epoch_time_sec
1,0.48252664013189994,0.8167448091091761,0.87995787995788,0.41566787506829694,0.8338509316770186,0.8884254431699687,0.8870150427243854,438.25251960754395
2,0.3584848385117075,0.870060281312793,0.9149719495091164,0.3577774464158538,0.8773291925465838,0.9213930348258706,0.9266671515806464,397.2376916408539
3,0.301199526056817,0.8925653047555258,0.9294510907811401,0.32618280692222695,0.8524844720496895,0.9009384775808134,0.9324791919947628,397.4222524166107
4,0.2476867668455428,0.9166778298727395,0.9454481669882476,0.3292431634017816,0.8563664596273292,0.9015433741351783,0.9415228377166094,397.3483681678772
5,0.18243532412150865,0.9378432685867382,0.9594405594405594,0.4071931397869188,0.8687888198757764,0.9133777549974372,0.9201658405810654,397.353924036026
6,0.13663140614467129,0.9544541192230409,0.9703884340707194,0.4093458030473366,0.8881987577639752,0.928923988153998,0.9324999740224654,397.2758185863495
7,0.09708008338537875,0.9662424648359008,0.9780869565217392,0.4575890187233374,0.8734472049689441,0.9176351692774128,0.9240382250762873,397.4413363933563
8,0.07857845935309168,0.9760214333556597,0.9844954525768731,0.38663315552980326,0.8649068322981367,0.9094693028095734,0.9373248681207158,397.3669331073761
9,0.07784780207918866,0.9761553918285332,0.9845620121422376,0.4510626828869022,0.8726708074534162,0.9173387096774194,0.9280110560387377,398.3359534740448
10,0.0558356120355234,0.9831212324179505,0.9891041162227603,0.7127343017618728,0.8827639751552795,0.9280609814197237,0.900672298596174,399.43974328041077
