epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,epoch_time_sec
1,0.49898589913947267,0.8013395847287341,0.8688886924233048,0.5086947056632605,0.6645962732919255,0.7336621454993835,0.8791559725815782,771.2417418956757
2,0.37445454384285737,0.8637642330877427,0.911093627065303,0.3392333718803451,0.8711180124223602,0.9151329243353783,0.9263484938225423,771.026294708252
3,0.30922435241771956,0.8886805090421969,0.9270732777534006,0.3125486777956534,0.8889751552795031,0.9273743016759777,0.9395520087561611,770.5974225997925
4,0.259234464218951,0.9083724045545881,0.9399578651685393,0.2912298821575176,0.8967391304347826,0.9325899645210339,0.9444842766642075,770.1448738574982
5,0.19348258876078933,0.9324849296718017,0.9559055118110236,0.35879519161108814,0.8742236024844721,0.9185110663983903,0.9274637959759067,769.9203147888184
6,0.16340974740221179,0.9429336905559277,0.96282722513089,0.40972935732147475,0.8338509316770186,0.882803943044907,0.947494207009778,770.0754125118256
7,0.11970262662744635,0.9604822505023443,0.9744079118591134,0.4062083502775868,0.8827639751552795,0.9231552162849873,0.9327112579707735,770.007908821106
8,0.08740542491524289,0.97052913596785,0.9808861859252823,0.45757230022049583,0.8959627329192547,0.9332003988035892,0.9369507916220718,770.0366868972778
9,0.06532489904341704,0.9797722705961152,0.9869184787316989,0.42233155886566714,0.8936335403726708,0.9320099255583126,0.9377612907024673,769.9611146450043
10,0.06215624376827051,0.9799062290689886,0.987006237006237,0.4739256268786556,0.8718944099378882,0.915687276443536,0.9277512806924572,771.5048828125
