epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,epoch_time_sec
1,0.5343934566481194,0.768251841929002,0.8428701180744778,0.43511329276591354,0.8416149068322981,0.8963414634146342,0.8845281267426596,736.3815243244171
2,0.41066183154605335,0.8484929671801742,0.8994040736458241,0.4077354125354601,0.8035714285714286,0.8607594936708861,0.9078143887832468,334.0752818584442
3,0.3470354743107245,0.8713998660415271,0.9147878572696609,0.3862995940567174,0.8369565217391305,0.889937106918239,0.9067164049863012,305.7586359977722
4,0.27751282121878856,0.904755525787006,0.9371963607455172,0.40588479190602067,0.8090062111801242,0.8680257510729614,0.9019019019019019,258.92778635025024
5,0.21681553449504182,0.922438044206296,0.9490361763929231,0.6410367733521259,0.8672360248447205,0.916135360470819,0.8775522927772063,191.6992597579956
6,0.15365646811163494,0.9473543201607502,0.9656198057912694,0.6556081435952613,0.8726708074534162,0.92,0.8896820696128654,202.50003242492676
7,0.13739466262221517,0.9532484929671802,0.9694850048089534,0.5419768572941145,0.8346273291925466,0.8891202498698595,0.8828326596492686,279.92137265205383
8,0.10376502734519122,0.9657066309444072,0.9776886874673174,0.6139653313395955,0.875,0.91921726041144,0.8975272850705377,322.54675221443176
9,0.075292059069985,0.9740120562625586,0.9831363004172462,0.6804299461886704,0.8454968944099379,0.8980010251153254,0.8845090765505991,295.0644714832306
10,0.06775127460003891,0.9754855994641661,0.9840855726584921,0.7518267942160825,0.8718944099378882,0.9173760640961443,0.8927422231920501,280.6587347984314
