epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,epoch_time_sec
1,0.565992262166016,0.7821835231078366,0.8605728005487909,0.5154299847087505,0.7111801242236024,0.7829638273045507,0.8554852430284956,627.4067103862762
2,0.4323302169893703,0.846483590087073,0.9001742160278746,0.4062408200517204,0.8330745341614907,0.8872574724698479,0.8957261760029926,147.50218677520752
3,0.37005121787187845,0.8697923643670462,0.9151091703056768,0.4140695819272573,0.8711180124223602,0.9181459566074951,0.8874306832784341,158.309387922287
4,0.32967526992035645,0.8776959142665773,0.9197644784251692,0.3978256953486837,0.8330745341614907,0.8866631523458092,0.9051404345521993,81.14032483100891
5,0.282500549924185,0.899531145344943,0.9341758820431806,0.3671774791426355,0.8664596273291926,0.9123343527013251,0.9126947016220373,96.26118445396423
6,0.217928390627027,0.9252511721366377,0.9513089005235602,0.46326801047504224,0.8540372670807453,0.9070227497527201,0.8848744938710337,103.41750478744507
7,0.16104404741329903,0.9438713998660415,0.9633773271567171,0.5537605545317583,0.8703416149068323,0.9172857850421,0.8886412363921014,81.15556144714355
8,0.1379703794355889,0.9515070328198258,0.9684063536393785,0.5067259385727739,0.8540372670807453,0.905811623246493,0.900284367412395,102.13772869110107
9,0.10414960708324354,0.9611520428667113,0.9747474747474747,0.5268786873614925,0.8330745341614907,0.885699096225412,0.9098579548406538,164.46358489990234
10,0.08621486057834386,0.9714668452779638,0.9815023881893182,0.5406870959152725,0.843167701863354,0.8960905349794238,0.8993162712885896,90.22792339324951
