distance_bin,n,error_rate,under_call_rate,over_call_rate
0-5,197,0.4010152284263959,0.20812182741116753,0.19289340101522842
5-10,376,0.14893617021276595,0.023936170212765957,0.125
10-15,345,0.04637681159420293,0.014492753623188406,0.03188405797101449
15-20,238,0.037815126050420145,0.01680672268907563,0.02100840336134454
20-30,100,0.010000000000000009,0.01,0.0
30+,21,0.0,0.0,0.0
