distance_bin,n,error_rate,under_call_rate,over_call_rate
0-5,197,0.40609137055837563,0.116751269035533,0.2893401015228426
5-10,376,0.2207446808510638,0.015957446808510637,0.2047872340425532
10-15,345,0.11884057971014494,0.020289855072463767,0.09855072463768116
15-20,238,0.0672268907563025,0.02100840336134454,0.046218487394957986
20-30,100,0.06000000000000005,0.03,0.03
30+,21,0.0,0.0,0.0
