distance_bin,n,error_rate,under_call_rate,over_call_rate
0-5,197,0.4314720812182741,0.3553299492385787,0.07614213197969544
5-10,376,0.10372340425531912,0.06648936170212766,0.03723404255319149
10-15,345,0.07246376811594202,0.06086956521739131,0.011594202898550725
15-20,238,0.07563025210084029,0.07563025210084033,0.0
20-30,100,0.07999999999999996,0.08,0.0
30+,21,0.1428571428571429,0.14285714285714285,0.0
