distance_bin,n,error_rate,under_call_rate,over_call_rate
0-5,197,0.37055837563451777,0.233502538071066,0.13705583756345177
5-10,376,0.14893617021276595,0.03723404255319149,0.11170212765957446
10-15,345,0.049275362318840554,0.02608695652173913,0.02318840579710145
15-20,238,0.07563025210084029,0.05042016806722689,0.025210084033613446
20-30,100,0.06000000000000005,0.06,0.0
30+,21,0.0,0.0,0.0
