run_name,model,test_loss,test_acc,test_f1,test_auc,best_val_auc,num_epochs,batch_size,num_frames,img_size,temporal_sampling,clip_period,ef_threshold,lr,backbone_lr,weight_decay,dropout,grad_clip,grad_accum_steps,warmup_frac,freeze_epochs,pretrained,total_runtime_sec
r3d_64f_112px_clipp1_pretrained,r3d,0.5013630123166827,0.8739232576350823,0.917138445702522,0.9342317487266554,0.9369265459230858,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,9848.53044295311
r3d_64f_112px_clipp1_pretrained_seed123,r3d,0.4210453693264149,0.87548942834769,0.9186700767263428,0.9303480475382004,0.9338230964528542,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1123.491203069687
r3d_64f_112px_clipp1_pretrained_seed2024,r3d,0.5137337481679102,0.889584964761159,0.928462709284627,0.93604272778721,0.937026992390314,12,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,1.0,1,0.0,0,True,1116.9291639328003
