epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.5667429906445227,0.7766613076098606,0.8558581928231733,0.585257873054802,0.6444099378881988,0.7179802955665024,0.818389323579635,0.0001,421.4562118053436
2,0.4775266525015604,0.8189978563772776,0.8814600333421075,0.4768562085510041,0.7492236024844721,0.8182329769274057,0.865398270242561,0.0001,210.7156422138214
3,0.44704585919744283,0.8251607717041801,0.8840927258193445,0.4517804862156233,0.8214285714285714,0.882051282051282,0.8669015035797042,0.0001,175.08987975120544
4,0.4036149543679487,0.8531618435155413,0.9039775714035395,0.4156313122522016,0.8462732919254659,0.8987730061349694,0.8864331459487169,0.0001,200.55151987075806
5,0.38592785022259557,0.8589228295819936,0.9076558800315706,0.4043301983117502,0.8470496894409938,0.900253164556962,0.8973194647935133,0.0001,740.4849572181702
6,0.3651724479159332,0.8664255091103966,0.9126740825085399,0.49375049775663,0.8672360248447205,0.9193776520509194,0.8973887382191881,0.0001,968.7600889205933
7,0.3322269563946801,0.8845123258306538,0.9244787103557035,0.4311484158710108,0.8470496894409938,0.9004547751389591,0.8783801102140203,0.0001,203.9311444759369
8,0.3274352000261503,0.8854501607717041,0.9252164786145368,0.4146598862680774,0.8656832298136646,0.9136295556665003,0.8946074101783446,0.0001,225.57885646820068
9,0.2935175648282238,0.8993837084673098,0.9341863114538603,0.4466811705536863,0.8625776397515528,0.9110105580693816,0.8900942464956305,0.0001,213.3970983028412
10,0.27116323205064147,0.9106377277599143,0.9415988092111024,0.4749176795536548,0.8136645962732919,0.8726114649681529,0.8742825870853552,0.0001,217.59958052635193
11,0.2553386304210634,0.9117095391211146,0.9424202708606378,0.45101302752838185,0.860248447204969,0.9093655589123867,0.8898102254503639,0.0001,234.8411099910736
12,0.22500344362491662,0.927384780278671,0.9526389374344635,0.475728467332419,0.843944099378882,0.8983308042488619,0.888608331514906,0.0001,372.9159212112427
13,0.2042207708534874,0.9307341907824223,0.9547483588621444,0.5360509678475582,0.8633540372670807,0.9129574678536103,0.8883762655388954,0.0001,569.075525522232
14,0.17290845303724495,0.9448017148981779,0.9641552114146511,0.5057422098839621,0.8408385093167702,0.8958862366683595,0.884909130583871,0.0001,265.42960929870605
15,0.15465849301399137,0.947615219721329,0.9659496647217626,0.6002158703823337,0.843944099378882,0.8982278481012658,0.8816376930563782,0.0001,212.403156042099
