epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.5587220669671025,0.7905948553054662,0.8660094299185598,0.4543019749733232,0.8486024844720497,0.9020592667001507,0.8571270232169886,0.0001,47.5099561214447
2,0.4679836677151563,0.8369506966773848,0.89527579382153,0.49135754780369517,0.8183229813664596,0.8810975609756098,0.8302004426571901,0.0001,43.45024490356445
3,0.4292898702066534,0.8469989281886388,0.9002620087336245,0.47154112063024356,0.8524844720496895,0.9065880039331367,0.8810956285004727,0.0001,45.16671872138977
4,0.39964836111163743,0.857583065380493,0.9066643252260953,0.4101650603925404,0.8416149068322981,0.8944099378881988,0.8877805140780919,0.0001,43.37641930580139
5,0.37941862973325297,0.8704448017148981,0.9155679734567362,0.3872053309442094,0.8385093167701864,0.8907563025210085,0.9016732995971751,0.0001,42.512792348861694
6,0.34761054042654393,0.8762057877813505,0.919202518363064,0.396163334115553,0.8579192546583851,0.9075290550783224,0.8964708653289968,0.0001,41.84077835083008
7,0.320107759861681,0.8845123258306538,0.9241731175228712,0.47151011065435333,0.8649068322981367,0.9156976744186046,0.8819927193629618,0.0001,42.00451421737671
8,0.2841939994140871,0.902599142550911,0.9362448478470577,0.4282773123643367,0.8672360248447205,0.9153046062407132,0.8952914852568832,0.0001,42.455106019973755
9,0.26209828780847994,0.9110396570203644,0.9418156326673677,0.4212027199780395,0.7857142857142857,0.8468368479467259,0.9027505013664183,0.0001,45.20760250091553
10,0.22911078223393455,0.9217577706323687,0.9487359550561798,0.534840051851218,0.875,0.9212713936430318,0.8954248366013071,0.0001,45.10834240913391
11,0.22691336010120514,0.9230975348338692,0.9496491228070175,0.450820330199236,0.8641304347826086,0.9121044701155199,0.8934366892844401,0.0001,45.17065072059631
12,0.18426989290117218,0.9397106109324759,0.9606712113266911,0.4770921951489558,0.8555900621118012,0.9048106448311156,0.903034522411685,0.0001,43.18830680847168
13,0.16515174945619904,0.9442658092175777,0.96364271980423,0.4546606227732408,0.8260869565217391,0.8835758835758836,0.8801777556102814,0.0001,42.249600410461426
14,0.1595077656447134,0.947347266881029,0.9657217618839947,0.5091201487136137,0.8486024844720497,0.9002557544757033,0.9003709591944886,0.0001,41.90798020362854
15,0.13068701620584844,0.9563236870310825,0.9716472429987824,0.5600485950845774,0.8618012422360248,0.9096446700507614,0.8883814610458209,0.0001,41.820822954177856
