epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.6219948627189431,0.7601822079314041,0.8610679913070475,0.5985565099471845,0.7274844720496895,0.8242363545317977,0.6684262116788069,0.0006695278969957081,126.16361546516418
2,0.6072118196673866,0.7652733118971061,0.8613924050632912,0.5731779537771059,0.7763975155279503,0.8637653736991485,0.7148428705522131,0.000996560956835922,120.14969325065613
3,0.5329518862133528,0.7896570203644159,0.8695363137776301,0.4503043358046446,0.8051242236024845,0.8704181724315952,0.8435494317847259,0.0009695895867602591,255.7092056274414
4,0.4622576724016778,0.8297159699892819,0.892224200797083,0.43296864115552086,0.860248447204969,0.9133782483156881,0.8714527676465393,0.0009171942462813938,255.80633115768433
5,0.4214916638791691,0.8429796355841372,0.8997776637591928,0.37262476611338696,0.8625776397515528,0.9121588089330025,0.8916147981891926,0.0008422116626674727,255.7933793067932
6,0.3892289906949471,0.857449088960343,0.9088104216660953,0.36367558845989867,0.859472049689441,0.90963554667998,0.8975030393715515,0.0007487014552974263,255.80992341041565
7,0.36609626660736033,0.8717845659163987,0.9183516764781162,0.3674569394817628,0.8586956521739131,0.9068577277379734,0.9032077059758722,0.000641726344494708,255.98040866851807
8,0.3471478001562328,0.8732583065380493,0.9189374464438732,0.36156064073008526,0.8757763975155279,0.921645445641528,0.9050053513721333,0.0005270780516424333,255.97822785377502
9,0.32795076188963523,0.8886655948553055,0.9290046988466467,0.3684274525184948,0.8548136645962733,0.9034589571502323,0.9127224109923073,0.00041096373057542923,255.84048509597778
10,0.3144920168918597,0.8917470525187567,0.9307863628576324,0.36172041708425623,0.8718944099378882,0.9182763744427934,0.9145165927172847,0.0002996699071141728,256.1706087589264
11,0.3070144185822423,0.8928188638799571,0.9313658201784488,0.35528582399631475,0.8664596273291926,0.9129554655870445,0.9155175937182858,0.00019922212133347572,255.89434480667114
12,0.2948272351062718,0.8959003215434084,0.9331152621158647,0.3476432948320835,0.8711180124223602,0.9170829170829171,0.9145477657588383,0.00011505869981628952,256.14800214767456
13,0.295322593739905,0.8996516613076099,0.9356805495920996,0.3687734279991453,0.8843167701863354,0.9271393643031784,0.9157011682963241,5.173632013386892e-05,255.84683084487915
14,0.27953951512124986,0.905010718113612,0.9393031418542933,0.35964558200306196,0.8726708074534162,0.9179179179179179,0.9155868671439606,1.2683308535978322e-05,254.14328813552856
15,0.2880145846944747,0.8987138263665595,0.934984520123839,0.3612870574867901,0.8781055900621118,0.9221616261774913,0.9152716730571402,0.0,255.81512069702148
