epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.673512703427335,0.7980975348338692,0.8758751338439996,0.5271314400326321,0.8462732919254659,0.9005025125628141,0.8709505353103969,0.0001,94.95047235488892
2,0.5727849493141312,0.854903536977492,0.9088460567292316,0.5443567161103754,0.8656832298136646,0.9108706852138073,0.9093955547242745,0.0001,93.07259273529053
3,0.5315189350519905,0.8695069667738478,0.9175693974272173,0.6662706130293418,0.8703416149068323,0.9190499272903538,0.8872886727558008,0.0001,93.11335158348083
4,0.5117764371899515,0.8794212218649518,0.9238191975622143,0.5212674656107744,0.8757763975155279,0.9204771371769384,0.9109628659801671,0.0001,93.17155981063843
5,0.49374904608695813,0.8839764201500536,0.9269198312236286,0.5742142891897444,0.8788819875776398,0.9254302103250478,0.9142533536997205,0.0001,93.23340606689453
6,0.4947144773482468,0.8873258306538049,0.9289395859738065,0.41492542691864304,0.8889751552795031,0.928464232116058,0.9343547699949084,0.0001,93.31527924537659
7,0.4754438370256638,0.8881296891747053,0.9292792411281443,0.464814361844462,0.8959627329192547,0.9333996023856859,0.917062391110834,0.0001,93.13252925872803
8,0.4700022798037806,0.8904072883172561,0.9308069700558281,0.6318229474186721,0.8672360248447205,0.911353032659409,0.9154794933341647,0.0001,93.03604388237
9,0.447623001109891,0.8929528403001071,0.9320057867415539,0.3871733052865747,0.8874223602484472,0.9268046441191318,0.9390965359823491,0.0001,93.14724254608154
10,0.44552820886735417,0.8969721329046088,0.9347586323916179,0.4906791806707639,0.8959627329192547,0.935077519379845,0.9359601816349221,0.0001,93.25445365905762
11,0.43859918562524464,0.8979099678456591,0.9351710056151098,0.3985926714965854,0.8866459627329193,0.9262626262626262,0.9403417258088538,0.0001,93.15409708023071
12,0.4212028888797129,0.8977759914255091,0.9349475658623924,0.5641285913867329,0.8982919254658385,0.9363768819815445,0.9284717243194751,0.0001,93.16659331321716
