epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc,lr_head,epoch_time_sec
1,0.6233384615510243,0.7589764201500536,0.8607046070460704,0.6165450604759758,0.7771739130434783,0.8743982494529541,0.693115260589309,0.0006695278969957081,106.05398058891296
2,0.5954549834421634,0.7605841371918542,0.8566155821230843,0.5686539078235441,0.7872670807453416,0.8780053428317008,0.7191828506707401,0.000996560956835922,105.06238794326782
3,0.5171814423912795,0.790058949624866,0.8680198770319212,0.44801173402106403,0.8012422360248447,0.8668054110301769,0.8474148889373803,0.0009695895867602591,249.71332383155823
4,0.43180908678902336,0.8386923901393355,0.8972696245733789,0.41246985850685064,0.8377329192546584,0.8932038834951457,0.8677223936739508,0.0009171942462813938,249.55077958106995
5,0.39210993676899875,0.8563772775991425,0.9082034594964892,0.38735442847933227,0.8664596273291926,0.9168278529980658,0.889179837276723,0.0008422116626674727,249.7205536365509
6,0.35991629483377874,0.8715166130760986,0.9179008646519989,0.36558331141424777,0.875,0.9211943220753793,0.8973298558073644,0.0007487014552974263,249.85924077033997
7,0.33220392001338356,0.8853161843515541,0.9266117969821673,0.5770538208655679,0.8625776397515528,0.9174825174825175,0.8997405710208479,0.000641726344494708,249.84509110450745
8,0.3185034783804859,0.8896034297963559,0.9295606086510515,0.42945413418254824,0.8307453416149069,0.8864583333333333,0.8996816886090242,0.0005270780516424333,249.81346654891968
9,0.2912210201552268,0.9027331189710611,0.9379699248120301,0.39618917410227583,0.8734472049689441,0.920371275036639,0.9083027664342543,0.00041096373057542923,249.69376158714294
10,0.2670376847027428,0.9091639871382636,0.9416623644811565,0.46065321545829196,0.8726708074534162,0.9210019267822736,0.9067025503011662,0.0002996699071141728,249.7981162071228
11,0.26354470122455464,0.9091639871382636,0.9417925824175825,0.4019786036878037,0.8726708074534162,0.9191321499013807,0.9067718237268411,0.00019922212133347572,249.63160514831543
12,0.24231309052339645,0.9181404072883173,0.9474770050717786,0.4273957066336875,0.8788819875776398,0.9226190476190477,0.9102354950105815,0.00011505869981628952,249.8364839553833
13,0.23615937098978412,0.9248392282958199,0.9517003874300474,0.4537804566528546,0.875,0.9207287050713934,0.909480414670726,5.173632013386892e-05,249.65020966529846
14,0.24126876365641922,0.9261789924973205,0.9528051391862955,0.44976463950608025,0.875,0.9207287050713934,0.9093557225045115,1.2683308535978322e-05,249.8374001979828
15,0.23178303524921703,0.9279206859592711,0.9538435140700069,0.4468212059486889,0.8734472049689441,0.9194265941670786,0.909348795161944,0.0,249.79135060310364
