epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse,val_r2
1,342.1202374566743,12.835072635438566,18.49649255627655,84.46337226310872,6.528049848834921,9.190395665287067,0.4421707727190606
2,101.33999205124275,7.755406858517033,10.066776641836828,61.19865191427077,5.873799788285487,7.822956723587274,0.5958201088196581
3,85.45870001560398,7.1475783703874916,9.244387481513641,54.335289010720224,5.488820294415729,7.37124745118127,0.6411484483998777
4,83.20604174857321,7.033725313491974,9.121734576872703,45.050264469585066,5.03914773612289,6.711949395733915,0.7024703892101143
5,78.01442514465546,6.847460968799425,8.832577490310479,41.261338710391556,4.78441882503699,6.423498938064479,0.7274939425830718
6,74.35454593749152,6.721460102104294,8.622908213966756,49.25358142763932,5.154445511213741,7.018089577172292,0.6747100382499835
7,68.73295693492538,6.431740344456994,8.2905341755962,48.82452214393557,5.29848493552356,6.987454628313165,0.6775437129680626
8,68.75264114043254,6.417523624780428,8.29172123866494,42.871057425596696,4.978436872085429,6.547599364396594,0.7168627283147819
9,63.46267498425805,6.180095302763196,7.966346403416223,51.8389190398388,5.7230534605357954,7.199924943775157,0.65763545324361
10,61.1565071592695,6.106549613426296,7.820262609213284,48.11854878086481,5.33799694191595,6.936753479016026,0.6822062377881246
11,58.70748484771841,5.968290930567216,7.6620809677505255,39.65389104363341,4.672468724458114,6.297133547776556,0.7381101573487366
12,54.48155747865241,5.730280518068696,7.381162342780829,43.17940057878909,5.04016403529955,6.571103455519086,0.7148263090196896
